ID,Licenseplate,vehicleusageID,VehicleStatus,createddate,make,model,year_model,colour,vin,fuel_type
273,UZ177,275,in use,2026-04-13 23:25:28,Toyota,i30,2024,Black,VIN000273,Petrol
274,WS197,304,in use,2026-01-27 02:59:59,Mazda,CX-5,2025,Blue,VIN000274,Diesel
275,LZ178,334,available for use,2026-07-15 23:34:52,Hyundai,Model 3,2026,Silver,VIN000275,Diesel
276,NM357,320,in use,2026-09-18 19:23:42,Mazda,Ranger,2018,Red,VIN000276,Diesel
277,SP318,339,out of fleet,2026-10-16 05:52:48,Tesla,i30,2026,Red,VIN000277,EV
278,SX741,31,in use,2026-05-22 11:17:09,Tesla,Ranger,2021,Black,VIN000278,Hybrid
279,NN426,33,in use,2026-11-25 12:59:01,Tesla,i30,2022,Black,VIN000279,Hybrid
280,VT341,208,in use,2026-02-28 05:44:58,Ford,Corolla,2021,Silver,VIN000280,EV
281,PR546,217,in use,2026-01-15 08:53:59,Ford,Ranger,2022,Black,VIN000281,Petrol
282,IZ922,143,available for use,2026-03-10 08:18:04,Kia,Corolla,2025,White,VIN000282,Petrol
283,CK716,153,available for use,2026-12-16 17:57:58,Tesla,i30,2019,Blue,VIN000283,Diesel
284,HD684,257,out of fleet,2026-07-22 16:59:49,Kia,CX-5,2026,Silver,VIN000284,EV
285,CH714,63,available for use,2026-05-02 17:11:45,Hyundai,CX-5,2024,Black,VIN000285,EV
286,GE209,90,in use,2026-04-17 14:57:59,Tesla,Model 3,2022,Red,VIN000286,Petrol
287,PR483,58,in use,2026-06-14 13:55:41,Tesla,Sportage,2021,Silver,VIN000287,Diesel
288,LP832,189,available for use,2026-01-09 04:25:33,Kia,CX-5,2018,White,VIN000288,Diesel
289,IR493,159,in use,2026-09-30 02:13:18,Hyundai,Sportage,2019,Red,VIN000289,Diesel
290,OM108,202,out of fleet,2026-12-23 11:41:48,Hyundai,i30,2019,Black,VIN000290,Hybrid
291,GF549,324,in use,2026-11-12 10:41:52,Kia,Model 3,2018,Silver,VIN000291,Petrol
292,YP582,212,out of fleet,2026-05-10 05:11:44,Kia,Model 3,2019,Black,VIN000292,Hybrid
293,QC460,216,in use,2026-11-12 21:41:56,Mazda,Sportage,2023,Blue,VIN000293,Petrol
294,YB756,329,in use,2026-06-22 04:50:01,Kia,Ranger,2018,Blue,VIN000294,Diesel
295,UJ421,295,in use,2026-03-03 07:00:42,Ford,CX-5,2020,Red,VIN000295,EV
296,ZK562,245,available for use,2026-02-21 20:24:05,Hyundai,Ranger,2023,Silver,VIN000296,Diesel
297,CN476,94,in use,2026-05-27 12:52:39,Mazda,Ranger,2018,White,VIN000297,Diesel
298,CO303,135,available for use,2026-03-07 12:55:10,Toyota,Model 3,2024,Red,VIN000298,Hybrid
299,EC476,88,out of fleet,2026-02-15 13:47:10,Toyota,Sportage,2026,Blue,VIN000299,EV
300,VP221,115,available for use,2026-03-16 00:00:01,Hyundai,i30,2025,Blue,VIN000300,Diesel
301,NG714,111,out of fleet,2026-04-20 21:26:45,Kia,Sportage,2021,Blue,VIN000301,Diesel
302,NZ249,15,in use,2026-04-12 16:08:52,Ford,CX-5,2025,Black,VIN000302,Hybrid
303,SV762,235,in use,2026-07-02 02:17:36,Ford,i30,2024,Black,VIN000303,EV
304,WN853,306,in use,2026-02-07 00:04:06,Mazda,Corolla,2018,Silver,VIN000304,Diesel
305,PL720,344,out of fleet,2026-08-21 07:55:37,Kia,Sportage,2018,White,VIN000305,Hybrid
306,QT490,155,out of fleet,2026-09-18 16:36:55,Hyundai,Ranger,2026,White,VIN000306,Diesel
307,IF615,253,out of fleet,2026-12-07 22:35:26,Tesla,Ranger,2019,Silver,VIN000307,EV
308,EI219,161,in use,2026-02-19 15:50:55,Tesla,i30,2023,Blue,VIN000308,Hybrid
309,IT949,136,in use,2026-06-19 05:43:14,Ford,i30,2025,Black,VIN000309,EV
310,BG252,28,in use,2026-01-14 22:15:37,Tesla,i30,2020,Blue,VIN000310,EV
311,DP141,227,in use,2026-10-03 08:37:50,Mazda,Model 3,2025,Blue,VIN000311,Petrol
312,XE226,179,in use,2026-12-04 03:57:35,Hyundai,Ranger,2020,Red,VIN000312,Hybrid
313,SV699,109,in use,2026-01-02 14:27:16,Mazda,CX-5,2020,Blue,VIN000313,Petrol
314,HY610,347,in use,2026-05-08 15:18:45,Toyota,i30,2019,Blue,VIN000314,Hybrid
315,SD957,166,in use,2026-02-01 11:33:50,Tesla,Sportage,2025,Blue,VIN000315,Hybrid
316,TV105,169,out of fleet,2026-09-12 19:58:24,Mazda,Model 3,2023,Red,VIN000316,Diesel
317,GB920,330,in use,2026-11-06 23:16:08,Toyota,Sportage,2019,Red,VIN000317,EV
318,CM361,92,in use,2026-10-27 09:05:56,Tesla,Corolla,2018,Black,VIN000318,Diesel
319,MY512,146,in use,2026-09-12 00:19:16,Ford,Corolla,2022,Blue,VIN000319,EV
320,XZ417,309,in use,2026-09-16 11:05:55,Toyota,i30,2026,Black,VIN000320,EV
321,OM587,138,in use,2026-06-14 07:18:13,Toyota,Model 3,2023,Red,VIN000321,Diesel
322,NU536,48,in use,2026-05-13 17:17:34,Tesla,Sportage,2021,Black,VIN000322,EV
323,QU762,269,in use,2026-07-01 20:07:08,Tesla,Corolla,2025,Silver,VIN000323,Diesel
324,EV407,128,in use,2026-04-25 18:05:18,Mazda,Corolla,2026,White,VIN000324,Petrol
325,QD622,218,in use,2026-06-30 10:54:44,Kia,Sportage,2022,Silver,VIN000325,Hybrid
326,SC887,258,in use,2026-10-15 14:06:39,Kia,Model 3,2020,Black,VIN000326,EV
327,BC526,153,in use,2026-10-09 05:03:05,Tesla,Sportage,2025,Red,VIN000327,Hybrid
328,KZ291,109,in use,2026-10-18 02:49:04,Mazda,i30,2019,Blue,VIN000328,Petrol
329,AM219,7,in use,2026-07-05 07:04:46,Tesla,Sportage,2024,Red,VIN000329,EV
330,JT932,316,in use,2026-09-19 16:18:01,Kia,Sportage,2024,Silver,VIN000330,Petrol
331,EE114,98,in use,2026-01-07 04:03:40,Kia,Ranger,2018,Black,VIN000331,EV
332,UE765,124,in use,2026-09-01 03:17:39,Mazda,Ranger,2019,Silver,VIN000332,EV
333,EP532,12,in use,2026-12-17 11:07:14,Ford,Sportage,2025,Blue,VIN000333,EV
334,AO699,125,in use,2026-08-10 03:28:35,Tesla,Corolla,2023,White,VIN000334,Petrol
335,UW542,213,available for use,2026-10-14 06:04:04,Mazda,CX-5,2026,Silver,VIN000335,Petrol
336,PM597,263,in use,2026-08-26 11:32:57,Kia,Model 3,2021,White,VIN000336,Petrol
337,NS423,284,in use,2026-12-13 18:13:07,Kia,Model 3,2025,White,VIN000337,EV
338,TU455,230,available for use,2026-01-09 01:56:04,Ford,i30,2021,Blue,VIN000338,Hybrid
339,OH619,113,in use,2026-09-24 00:25:16,Hyundai,CX-5,2025,Black,VIN000339,Hybrid
340,XW499,214,available for use,2026-09-19 09:48:52,Kia,Sportage,2023,Blue,VIN000340,Diesel
341,TG389,45,available for use,2026-02-20 03:16:01,Ford,Ranger,2020,Red,VIN000341,EV
342,DZ525,253,in use,2026-03-23 08:03:23,Mazda,Corolla,2018,Silver,VIN000342,Hybrid
343,LV262,90,available for use,2026-12-14 08:56:52,Mazda,Corolla,2019,Silver,VIN000343,EV
344,DT332,62,in use,2026-07-08 21:15:11,Hyundai,i30,2023,White,VIN000344,Hybrid
345,EW994,264,in use,2026-02-10 10:40:26,Kia,Corolla,2025,Blue,VIN000345,Petrol
346,DZ725,313,available for use,2026-02-09 13:28:44,Mazda,Corolla,2026,White,VIN000346,Diesel
347,UD991,106,out of fleet,2026-03-02 23:38:57,Kia,i30,2025,Red,VIN000347,EV
348,XD257,332,in use,2026-11-15 03:07:54,Ford,Corolla,2021,Blue,VIN000348,EV
349,YY106,126,available for use,2026-07-03 22:51:44,Hyundai,i30,2026,Black,VIN000349,Petrol
350,IL832,213,in use,2026-09-16 06:12:18,Ford,Ranger,2026,Blue,VIN000350,Diesel
351,EZ539,212,out of fleet,2026-12-15 18:34:29,Tesla,CX-5,2023,White,VIN000351,EV
352,EY110,265,out of fleet,2026-02-02 22:11:24,Hyundai,i30,2024,Black,VIN000352,EV
353,BM877,19,available for use,2026-09-07 02:53:39,Ford,CX-5,2018,Red,VIN000353,Hybrid
354,NM797,284,available for use,2026-10-08 05:20:35,Kia,i30,2023,White,VIN000354,Hybrid
355,QT250,207,in use,2026-03-21 15:59:00,Mazda,CX-5,2025,Silver,VIN000355,EV
356,YG408,44,in use,2026-05-10 21:42:00,Tesla,Sportage,2020,Red,VIN000356,Hybrid
357,GC623,283,in use,2026-05-13 07:38:12,Kia,Ranger,2018,White,VIN000357,Hybrid
358,HY411,217,out of fleet,2026-02-12 21:23:35,Kia,Corolla,2023,Silver,VIN000358,Hybrid
359,DB874,334,out of fleet,2026-06-24 06:31:51,Hyundai,CX-5,2018,Blue,VIN000359,Hybrid
360,HZ863,298,in use,2026-12-14 07:50:33,Kia,Sportage,2026,Red,VIN000360,Diesel
361,LJ391,342,available for use,2026-10-05 14:55:35,Mazda,Sportage,2020,Blue,VIN000361,Diesel
362,DK628,299,in use,2026-10-30 08:36:26,Hyundai,Model 3,2019,Black,VIN000362,EV
363,NC194,32,in use,2026-02-20 12:16:40,Tesla,Ranger,2025,White,VIN000363,Hybrid
364,VQ512,302,in use,2026-10-30 11:10:21,Tesla,i30,2025,,VIN000364,EV
365,WP849,214,available for use,2026-02-26 01:24:14,Mazda,Ranger,2025,Blue,VIN000365,Diesel
366,WQ983,271,in use,2026-03-24 13:58:19,Tesla,Model 3,2018,Black,VIN000366,Hybrid
367,DT972,210,in use,2026-05-24 12:47:27,Mazda,i30,2018,Red,VIN000367,Diesel
368,DL412,192,in use,2026-07-08 17:09:15,Toyota,Ranger,2020,Red,VIN000368,EV
369,BJ390,111,in use,2026-10-15 06:08:02,Tesla,Corolla,2019,Red,VIN000369,Hybrid
370,CB527,247,in use,2026-08-08 17:18:08,Tesla,i30,2024,Blue,VIN000370,Diesel
371,YE616,326,in use,2026-06-24 17:38:45,Kia,Model 3,2020,Silver,VIN000371,Petrol
372,ZT780,320,in use,2026-04-01 10:03:39,Tesla,i30,2026,White,VIN000372,EV
373,XI761,46,available for use,2026-10-02 15:39:43,Toyota,CX-5,2022,Red,VIN000373,Petrol
374,UR187,99,out of fleet,2026-07-30 10:15:43,Mazda,Corolla,2026,Black,VIN000374,EV
375,QA223,338,out of fleet,2026-03-11 19:19:47,Toyota,i30,2021,Black,VIN000375,EV
376,CZ646,311,in use,2026-08-17 16:52:51,Toyota,Model 3,2018,Silver,VIN000376,EV
377,FN124,271,in use,2026-04-10 21:04:14,Toyota,Corolla,2019,Red,VIN000377,Diesel
378,JE287,131,available for use,2026-03-01 21:30:11,Hyundai,Model 3,2020,White,VIN000378,Hybrid
379,FA830,30,in use,2026-02-08 08:21:46,Hyundai,Ranger,2024,Silver,VIN000379,Hybrid
380,MD153,104,in use,2026-08-20 20:29:10,Mazda,Ranger,2025,Red,VIN000380,EV
381,DI162,163,in use,2026-06-08 02:13:39,Toyota,Model 3,2018,Blue,VIN000381,Diesel
382,AI667,301,available for use,2026-04-06 15:49:56,Mazda,Sportage,2020,Silver,VIN000382,EV
383,OC966,326,in use,2026-11-01 00:59:06,Ford,i30,2026,Black,VIN000383,Diesel
384,RN668,232,in use,2026-11-12 14:23:18,Tesla,CX-5,2022,Black,VIN000384,Petrol
385,BP379,307,in use,2026-09-22 02:02:19,Tesla,i30,2021,Red,VIN000385,Hybrid
386,BF856,274,in use,2026-04-27 18:09:09,Toyota,Model 3,2019,Black,VIN000386,Hybrid
387,NG725,259,out of fleet,2026-05-04 14:48:27,Kia,i30,2022,Blue,VIN000387,Hybrid
388,HV429,175,in use,2026-08-21 19:52:20,Hyundai,Corolla,2020,White,VIN000388,EV
389,AA788,89,in use,2026-12-14 16:30:15,Kia,Sportage,2025,Blue,VIN000389,Petrol
390,ZU766,40,in use,2026-12-13 15:22:32,Kia,Model 3,2019,Silver,VIN000390,EV
391,TL496,91,available for use,2026-11-12 07:10:26,Kia,Corolla,2019,Blue,VIN000391,Hybrid
392,GO109,114,available for use,2026-10-22 12:59:45,Hyundai,Sportage,2023,Black,VIN000392,Petrol
393,TU410,114,in use,2026-07-11 18:37:49,Hyundai,Corolla,2022,Blue,VIN000393,Diesel
394,AG940,327,in use,2026-12-04 20:12:25,Hyundai,CX-5,2026,Blue,VIN000394,Diesel
395,RG775,290,available for use,2026-08-23 04:06:41,Mazda,Ranger,2019,Red,VIN000395,Diesel
396,XC230,133,out of fleet,2026-11-29 05:38:30,Ford,CX-5,2022,Black,VIN000396,Petrol
397,WV645,315,in use,2026-08-06 12:39:33,Tesla,Corolla,2024,White,VIN000397,Hybrid
398,NN380,63,available for use,2026-07-01 04:54:12,Tesla,i30,2026,White,VIN000398,Diesel
399,BI530,273,in use,2026-01-03 00:05:16,Tesla,Ranger,2023,White,VIN000399,Petrol
400,XH806,217,out of fleet,2026-12-23 03:00:53,Ford,Ranger,2020,Silver,VIN000400,Hybrid
401,CU740,50,in use,2026-06-17 18:03:21,Toyota,CX-5,2023,Silver,VIN000401,Diesel
402,DP344,175,available for use,2026-11-16 02:10:55,Hyundai,CX-5,2021,White,VIN000402,EV
403,YD740,229,in use,2026-02-03 05:14:28,Toyota,Corolla,2024,Silver,VIN000403,Petrol
404,ZE163,227,in use,2026-08-26 04:29:48,Kia,Model 3,2019,White,VIN000404,Petrol
405,RB401,196,in use,2026-08-28 17:40:17,Tesla,Ranger,2018,Blue,VIN000405,EV
406,OZ538,318,in use,2026-05-12 21:27:17,Kia,Sportage,2018,Blue,VIN000406,Hybrid
407,SG210,53,in use,2026-10-05 00:25:56,Toyota,CX-5,2021,Red,VIN000407,Diesel
408,UQ362,182,in use,2026-10-09 09:58:34,Mazda,Model 3,2020,Black,VIN000408,Diesel
409,ZB161,66,in use,2026-06-19 06:23:56,Mazda,Sportage,2023,Silver,VIN000409,Diesel
410,EP416,309,in use,2026-05-24 05:44:40,Toyota,CX-5,2020,White,VIN000410,Diesel
411,QR979,28,in use,2026-03-17 21:19:35,Ford,Sportage,2021,White,VIN000411,Hybrid
412,GV587,240,in use,2026-05-09 14:29:56,Mazda,CX-5,2023,Red,VIN000412,Hybrid
413,NK266,54,in use,2026-11-03 11:47:48,Toyota,Model 3,2021,White,VIN000413,Diesel
414,WH577,320,in use,2026-07-06 16:52:45,Kia,i30,2024,Black,VIN000414,EV
415,FA471,6,in use,2026-01-12 15:47:03,Mazda,Corolla,2020,Silver,VIN000415,EV
416,GU699,185,in use,2026-01-12 12:41:22,Ford,Ranger,2022,Black,VIN000416,Diesel
417,IX278,174,available for use,2026-04-06 12:33:11,Ford,Ranger,2018,Black,VIN000417,Hybrid
418,DA951,347,in use,2026-09-12 07:49:23,Toyota,i30,2021,Silver,VIN000418,EV
419,HL928,191,available for use,2026-07-24 15:18:47,Mazda,Model 3,2019,White,VIN000419,Diesel
420,EZ294,99,in use,2026-09-27 15:50:50,Hyundai,i30,2024,Black,VIN000420,Petrol
421,YT701,97,available for use,2026-04-25 05:58:54,Ford,i30,2021,White,VIN000421,Hybrid
422,EQ698,251,in use,2026-02-01 14:46:29,Tesla,Sportage,2019,Black,VIN000422,EV
423,YU869,261,in use,2026-07-21 12:25:38,Tesla,Ranger,2023,Silver,VIN000423,EV
424,WP585,138,in use,2026-09-05 19:34:30,Mazda,Sportage,2018,Black,VIN000424,Diesel
425,GO983,121,in use,2026-04-29 20:07:03,Tesla,Model 3,2020,Silver,VIN000425,Hybrid
426,RC237,44,in use,2026-07-21 11:45:34,Hyundai,Ranger,2018,Blue,VIN000426,Hybrid
427,NO578,222,in use,2026-11-09 10:31:30,Tesla,i30,2022,Blue,VIN000427,Petrol
428,FO339,136,in use,2026-05-20 10:59:19,Toyota,i30,2026,Red,VIN000428,Petrol
429,ZI333,51,in use,2026-05-20 21:39:04,Toyota,CX-5,2021,Silver,VIN000429,Diesel
430,VK356,155,available for use,2026-10-26 10:46:45,Kia,i30,2021,Red,VIN000430,Diesel
431,YW857,279,out of fleet,2026-01-04 07:32:29,Hyundai,i30,2023,Blue,VIN000431,EV
432,SY771,7,in use,2026-07-19 02:12:57,Ford,Model 3,2021,Black,VIN000432,Diesel
433,PH628,301,available for use,2026-10-22 05:32:32,Tesla,Sportage,2025,Silver,VIN000433,Petrol
434,KG539,214,in use,2026-06-24 18:02:32,Mazda,Corolla,2023,Black,VIN000434,Diesel
435,JX109,256,available for use,2026-11-21 00:13:45,Hyundai,i30,2021,Blue,VIN000435,EV
436,VY513,276,in use,2026-08-16 22:49:04,Toyota,CX-5,2018,Black,VIN000436,Diesel
437,KS744,309,out of fleet,2026-08-11 20:56:14,Tesla,Model 3,2021,Blue,VIN000437,Petrol
438,RM292,244,in use,2026-08-10 04:15:52,Tesla,Sportage,2022,White,VIN000438,Diesel
439,DV666,91,in use,2026-09-25 14:10:27,Mazda,Model 3,2018,Black,VIN000439,Diesel
440,CM390,106,in use,2026-09-14 03:38:13,Mazda,Corolla,2025,White,VIN000440,Hybrid
441,QA275,168,available for use,2026-06-09 13:30:15,Tesla,Ranger,2019,Black,VIN000441,EV
442,PX170,200,out of fleet,2026-12-03 04:54:14,Ford,Ranger,2021,Silver,VIN000442,EV
443,WV586,82,in use,2026-12-31 17:33:07,Hyundai,CX-5,2021,Red,VIN000443,EV
444,IG107,74,in use,2026-11-17 05:40:01,Tesla,CX-5,2021,Red,VIN000444,Hybrid
445,SP571,237,in use,2026-10-14 08:02:51,Toyota,i30,2025,Silver,VIN000445,Hybrid
446,MT943,90,in use,2026-03-11 17:47:21,Mazda,Sportage,2024,Blue,VIN000446,EV
447,VF815,292,in use,2026-09-29 07:50:27,Toyota,Ranger,2020,Silver,VIN000447,Hybrid
448,VC814,112,out of fleet,2026-06-09 17:23:24,Mazda,Corolla,2023,White,VIN000448,Petrol
449,QY898,167,in use,2026-03-06 00:24:42,Hyundai,Ranger,2026,White,VIN000449,EV
450,AC754,346,available for use,2026-05-29 00:37:38,Hyundai,Sportage,2024,Black,VIN000450,EV
